entry,exit,days_held,return
2016-11-03,2016-11-07,2,0.020385157350868877
2016-11-30,2016-12-05,3,-0.007658643326039383
2016-12-28,2017-01-03,3,-0.0028510334996435516
2017-03-17,2017-03-22,3,-0.007207061300510187
2017-04-13,2017-04-17,1,0.008255680889324823
2017-05-17,2017-05-22,3,0.021541594861350433
2017-06-20,2017-06-21,1,0.009916094584286883
2017-06-27,2017-06-28,1,0.014401232190989655
2017-07-03,2017-07-05,1,0.009834530128004948
2017-08-10,2017-08-11,1,0.00761287404839095
2017-08-17,2017-08-22,3,0.013238059420835002
2017-10-26,2017-10-27,1,0.02915914832190536
2017-12-04,2017-12-06,2,0.0051396027226005
2017-12-29,2018-01-02,1,0.01753193802663766
2018-02-02,2018-02-06,2,-0.013953189300411672
2018-02-07,2018-02-09,2,-0.02563424947145898
2018-02-21,2018-02-23,2,0.02029283329052145
2018-02-27,2018-03-02,3,-0.01371069182389939
2018-03-16,2018-03-21,3,-0.022403762841935904
2018-03-22,2018-03-26,2,0.009801376087238634
2018-04-09,2018-04-10,1,0.022042074232882403
2018-04-11,2018-04-16,3,0.014505175710423979
2018-05-02,2018-05-03,1,-0.0001306079801475235
2018-06-27,2018-06-28,1,0.008573558648111268
2018-07-03,2018-07-05,1,0.012409705501018609
2018-08-13,2018-08-14,1,0.006257309941520406
2018-09-17,2018-09-20,3,0.018607896726173134
2018-10-10,2018-10-12,2,0.015078148942690772
2019-02-25,2019-02-27,2,0.0004234212436486917
2019-03-14,2019-03-19,3,0.015086718935614085
2019-03-22,2019-03-27,3,-0.0036965323006512563
2019-04-24,2019-04-26,2,0.004970453415806153
2019-05-01,2019-05-03,2,0.011534409138800994
2019-05-17,2019-05-22,3,-0.011046877683017597
2019-05-28,2019-05-31,3,-0.020240764782249565
2019-05-31,2019-06-04,2,0.005541167258928947
2019-06-25,2019-06-28,3,0.009779536461277605
2019-07-17,2019-07-18,1,0.001142173392798762
2019-07-19,2019-07-23,2,0.01455779334500873
2019-08-14,2019-08-19,3,0.031001544357375677
2019-08-20,2019-08-23,3,-0.02616717920044731
2019-08-23,2019-08-26,1,0.0151001894700582
2019-10-01,2019-10-03,2,-0.006406685236768794
2019-10-08,2019-10-11,3,0.03066449108197844
2019-10-22,2019-10-23,1,0.0019576920985371338
