date,equity,cash
2026-07-05,100000.0,100000.0
2026-07-08,99988.43,84793.68
2026-07-09,100089.33,83345.79
2026-07-10,100244.03,68485.94
2026-07-11,100211.2,2923.53
2026-07-14,99298.91,3247.21
2026-07-15,99974.07,2489.7
2026-07-16,100048.25,2937.19
2026-07-17,98009.93,3624.22
2026-07-18,97438.8,2658.28
2026-07-21,97811.85,3285.56
2026-07-22,99578.77,1764.6
2026-07-23,99310.76,3831.04
2026-07-24,98511.32,3266.98
2026-07-25,97211.61,3053.25
2026-07-28,96824.39,3716.51
2026-07-29,95594.18,5823.58
2026-07-30,94478.38,5786.41
2026-07-31,96347.51,2951.39
2026-08-01,96202.26,3323.38
2026-08-04,97261.15,3891.97
2026-08-05,98146.58,-2142.43
2026-08-06,98401.34,-834.72
2026-08-07,98341.74,269.95
2026-08-08,98398.54,1609.04
2026-08-11,97749.58,1608.54
2026-08-12,97571.5,2468.76
2026-08-13,97776.09,2468.58
2026-08-14,98347.38,4450.83
2026-08-15,98380.7,4052.31
2026-08-18,98027.0,4485.5
