date,equity,spot,vix,realised_vol,vrp,in_position,book_value,delta,gamma,vega,theta,hedge_shares,delta_pnl,gamma_pnl,vega_pnl,theta_pnl,residual_pnl,interest,costs,action,portfolio_value,daily_return,in_regime
2016-01-04,100000.0,171.1,20.7,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100000.0,0.0,False
2016-01-05,100000.0,171.39,19.34,2.6905945536247886,16.649405446375212,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100000.0,0.0,False
2016-01-06,99959.14476372056,169.23,20.59,5.551599660102931,15.03840033989707,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.85523627944676,0.0,,99959.14476372056,-0.0004085523627944676,False
2016-01-07,99972.76317581368,165.17,24.99,10.770193532004404,14.219806467995594,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.61841209313072,0.0,,99972.76317581368,0.0001362397820161565,False
2016-01-08,99972.76317581368,163.36,27.01,11.278047238867522,15.73195276113248,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99972.76317581368,0.0,False
2016-01-11,99972.76317581368,163.52,24.3,10.941102902850247,13.358897097149754,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99972.76317581368,0.0,False
2016-01-12,99999.99999999999,164.84,22.47,11.062460332067255,11.407539667932744,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.23682418630675,0.0,,99999.99999999999,0.0002724424465332387,False
2016-01-13,99972.76317581367,160.73,25.22,14.457922775633076,10.762077224366923,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.23682418631634,0.0,,99972.76317581367,-0.00027236824186316344,False
2016-01-14,99959.14476372053,163.36,23.95,15.393905692547454,8.556094307452545,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.618412093142275,0.0,,99959.14476372053,-0.00013622122326650832,False
2016-01-15,99959.14476372053,159.86,27.02,17.09268553938152,9.92731446061848,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99959.14476372053,0.0,False
2016-01-19,99972.76317581366,160.07,26.05,16.5798439995704,9.4701560004296,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.618412093130715,0.0,,99972.76317581366,0.0001362397820161565,False
2016-01-20,99972.76317581366,158.02,27.59,16.828459968392703,10.761540031607296,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99972.76317581366,0.0,False
